"[39.253418, -74.73592599999999]",,1224805
"[38.7396268, -89.6828006]",,1188452
"[37.346246, -79.944425]",,1203601
"[33.9481945, -117.4252026]",,1191602
"[38.8630518, -77.269989]",,1191169
"[29.5618321, -81.2542058]",,1243969
"[36.5679242, -119.6056984]",,1206813
"[40.7791714, -76.3514793]",,1273426
"[28.3152645, -81.38402599999999]",,1204397
"[44.0212931, -121.32127]",,1284013
"[29.9370637, -95.27711579999999]",,1263142
"[26.3752345, -81.7938727]",,1187815
"[42.3255541, -85.1631666]",,1223520
"[43.9518491, -70.463939]",,1260054
"[33.02638, -117.0824191]",,1193728
"[42.2317282, -70.808055]",,1246265
"[40.757506, -73.5878991]",,1250300
"[39.518417, -104.941687]",,1223691
"[40.2210672, -78.4101669]",,1244898
"[40.3006732, -83.05749399999999]",,1246661
"[33.8810761, -84.62043109999999]",,1253857
"[33.0763339, -112.0082103]",,1253602
"[40.8590056, -74.0186184]",,1230093
"[37.8522922, -122.2725082]",,1264559
"[36.8014749, -76.3178909]",,1229884
"[31.0526329, -97.6627195]",,1250369
"[40.3686853, -74.7188144]",,1204629
"[41.7550993, -70.6090103]",,1281940
"[41.4340295, -81.8225345]",,1200325
"[41.6353178, -70.4295604]",,1248060
"[41.37542560000001, -73.39551449999999]",,1229414
"[35.3733892, -119.0106508]",,1227585
"[33.266347, -111.685894]",,1215614
"[27.6794937, -97.294777]",,1240016
"[41.6922042, -88.0904568]",,1210269
"[44.4209424, -72.0151851]",,1273497
"[47.5607264, -122.2869898]",,1219100
"[40.8185407, -73.8510682]",,1224262
"[40.805687, -96.686312]",,1227691
"[37.228069, -119.9096177]",,1193963
"[30.228255, -97.7894151]",,1265348
"[42.7077809, -87.8358473]",,1207469
"[39.4935382, -74.4733416]",,1191868
"[40.0945159, -75.2143679]",,1252565
"[33.53153440000001, -82.0733985]",,1275093
"[40.239367, -77.07696829999999]",,1222703
"[41.8980669, -87.7849832]",,1235948
"[44.79873389999999, -93.230313]",,1277023
"[35.3043521, -93.343049]",,1256522
"[41.6154747, -72.07871469999999]",,1276538
"[41.45502949999999, -88.2459081]",,1276332
"[42.0953106, -87.7720477]",,1202005
"[36.4010651, -119.0989048]",,1284312
"[27.285427, -82.5244847]",,1188431
"[41.71989079999999, -83.67382479999999]",,1211784
"[39.1069193, -94.5422438]",,1260612
"[33.38437, -84.6703347]",,1266029
"[30.5796688, -96.243753]",,1261151
"[40.6562588, -73.9073141]",,1257596
"[42.897147, -70.8705044]",,1210375
"[40.6480203, -73.95220139999999]",,1261941
"[33.0300394, -80.2465532]",,1220763
"[34.2217668, -118.3890348]",,1193432
"[39.9514141, -82.8191388]",,1224987
"[30.1724219, -97.6294312]",,1266283
"[28.628221, -81.3327437]",,1229354
"[39.0064777, -84.56700339999999]",,1247174
"[39.93035, -82.74535689999999]",,1204430
"[41.1060117, -73.996736]",,1241919
"[41.7641953, -76.4361412]",,1193737
"[40.601141, -81.36138799999999]",,1285535
"[36.9525019, -76.53674939999999]",,1223638
"[40.3584635, -74.6686297]",,1286040
"[40.8837579, -74.7300003]",,1249499
"[38.3971981, -81.85618029999999]",,1191937
"[37.16473879999999, -80.6360121]",,1201210
"[34.1119381, -84.538195]",,1230754
"[42.74802500000001, -71.4738]",,1248806
"[41.853925, -71.4212689]",,1260531
"[27.782765, -97.42541419999999]",,1265663
"[33.4367742, -112.0869452]",,1281326
"[41.2053085, -96.1388564]",,1276142
"[41.08283590000001, -112.0541472]",,1245123
"[41.1762589, -96.15001250000002]",,1266309
"[39.9805663, -104.8209047]",,1205274
"[40.8559403, -76.7981972]",,1269895
"[39.9367466, -75.2297285]",,1258845
"[40.76508, -111.9081707]",,1211709
"[35.745675, -95.4405286]",,1253872
