Case Number,Missing Date,Gender,Race,Age Missing,Missing City,Missing State,Missing Zip,Lat,Lon,Vehicle Style,Vehicle Color
1196385,2012-06-09,Female,Black,8,Cabrillo,CA,90810,33.7986156,-118.2150663,,
1198726,2012-07-13,Female,White,8,Evansdale,IA,50707,42.4742493,-92.2876645,,
1216159,2013-05-17,Male,White,8,Escambia,FL,,30.6389408,-87.3413599,,
1218200,2013-06-21,Female,White,8,Jacksonville,FL,32218,30.4686832,-81.6692532,Van,White
1221229,2013-08-14,Male,Black,8,Peoria,IL,,40.6936488,-89.5889864,,
1221397,2013-08-18,Male,White,8,Fort Wayne,IN,46805,41.1024994,-85.1220031,,
1225118,2013-11-08,Male,Black,8,West Palm Beach,FL,33409,26.7152999,-80.1037721,,
1232076,2014-05-09,Male,Black,8,Miami,FL,33161,25.8909628,-80.1819268,,
1237246,2014-09-01,Female,White,8,Bullhead City,AZ,86442,35.0771847,-114.5599015,,
1238311,2014-09-25,Male,White,8,Skokie,IL,60077,42.0341144,-87.759112,,
1239607,2014-10-25,Male,Biracial,8,Macclenny,FL,32063,30.2821807,-82.1220569,,
1247042,2015-04-20,Male,White,8,Fairfield,CA,,38.2493581,-122.0399663,,Silver
1250223,2015-06-21,Male,Black,8,Niagara Falls,NY,14305,43.1197084,-79.0306032,,
1252041,2015-07-26,Female,White,8,Santa Cruz,CA,95060,36.9741171,-122.0307963,,
1256772,2015-10-25,Male,White,8,Ruston,LA,,32.5232053,-92.637927,Sport Utility,Dark
1260992,2016-01-08,Male,Black,8,Beaumont,TX,77713,30.0435239,-94.2743628,"Sedan, 4 door",Dark
1270170,2016-06-12,Male,White,8,Duncan,OK,73533,34.4734741,-97.9157099,,
1283232,2016-12-05,Male,Hispanic,8,Wichita,KS,,37.6871761,-97.330053,Sport Utility,Black
1187645,2012-01-19,Female,Hispanic,9,Pueblo,CO,81004,38.2544472,-104.6091409,,
1188520,2012-02-03,Male,Hispanic,9,Smyrna,GA,30080,33.8806897,-84.5064881,,
1188523,2012-02-03,Male,Biracial,9,Saginaw,MI,48602,43.4304646,-83.9638426,"Sedan, 4 door",Maroon
1194166,2012-05-07,Male,Asian,9,Sugar Land,TX,77498,29.6338457,-95.6563119,"Sedan, 4 door",Red
1195358,2012-05-24,Female,Black,9,Long Beach,CA,90806,33.8065036,-118.1912538,,Black
1202265,2012-09-08,Female,Hispanic,9,Brooklyn,NY,11220,40.6385229,-74.0153231,,
1203253,2012-09-23,Female,White,9,Unionville,TN,,35.6217359,-86.592495,,
1206938,2012-11-25,Female,White,9,Fillmore,UT,84631,38.9638553,-112.3397377,,
1207269,2012-12-06,Male,Black,9,South Holland,IL,60473,41.6008681,-87.6069894,,
1208005,2012-12-21,Female,White,9,Griffin,GA,30223,33.2467807,-84.2640904,,
1212871,2013-03-23,Female,Black,9,Milwaukee,WI,53208,43.0499798,-87.962884,,
1215793,2013-05-12,Female,White,9,Clearlake,CA,95422,38.9713832,-122.6616518,,
1215947,2013-05-14,Female,Black,9,Laurel,MD,,39.0992752,-76.8483061,,
1219607,2013-07-06,Male,Black,9,Harrisburg,PA,17104,40.255136,-76.857682,,
1224490,2013-10-23,Male,Black,9,Pomona,CA,91766,34.0397162,-117.7549295,,
1224877,2013-11-01,Male,Biracial,9,Austin,TX,78724,30.2944269,-97.6222665,,
1227858,2014-01-27,Male,Black,9,Little Rock,AR,,34.7464809,-92.2895948,,
1228579,2014-02-14,Male,Black,9,Kansas City,MO,64132,38.992935,-94.5521274,,
1232347,2014-05-16,Female,Black,9,Temple Terrace,FL,33617,28.0307138,-82.3994214,,
1232707,2014-05-26,Male,Hispanic,9,Hickory,NC,28601,35.7655407,-81.3289397,,
1232712,2014-05-26,Male,Black,9,Liverpool,NY,13088,43.106456,-76.2177046,,
1232944,2014-05-30,Male,White,9,Clearlake,CA,95422,38.9713832,-122.6616518,,
1236452,2014-08-13,Male,White,9,Live Oak,FL,,30.2949457,-82.98402,,
1250913,2015-07-04,Male,Black,9,Davison,MI,,43.0347491,-83.5180063,,
1252694,2015-08-07,Male,White,9,Odenton,MD,,39.0839981,-76.7002462,,
1261830,2016-01-29,Female,Black,9,Philadelphia,PA,19139,39.9600168,-75.2274866,,
1269206,2016-05-29,Female,Hispanic,9,Fort Myers,FL,33908,26.5101373,-81.9425701,"Sedan, 4 door",
1273777,2016-08-02,Male,Black,9,Dallas,TX,,32.7766642,-96.7969879,,
1274262,2016-08-09,Male,Black,9,Columbia,MD,21045,39.201384,-76.8374995,,
1278620,2016-10-09,Female,White,9,Mesa,AZ,85206,33.3951613,-111.7018452,,
1192068,2012-03-31,Female,Biracial,10,Amberg,WI,54102,45.4888208,-87.9963408,Sport Utility,Maroon
