Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1226317,Closed,Internet,10/27/2013,4:30 PM,Athletic Field,Unknown address,McAdenville,NC,28101,Gaston,500279,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,White,,,,,,30-40,,,"Sedan, 4 door",,Blue,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1190037,Closed,Internet,2/27/2012,5:00 PM,Street,Unknown Address,Farmington,MN,55044,Dakota,458338,,,,,,Unknown,,,,,,Female,,,,,,10,,,,,,Male,,,White,,,30,,,,,,Truck,,,,Unknown,,0,0,0,0,-1,Unknown
Attempted Abduction,1228281,Closed,Internet,1/14/2014,6:12 PM,Home - Residence,Unknown address,Lawrenceville,GA,30046,Gwinnett,503155,,,,,,Unknown,,,,,,Male,,,,,,7,,,,,,Male,,,White,,,,,,30-39,,,Pickup Truck,,Black,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1191087,Closed,Internet,3/17/2012,6:45 PM,Home - Residence,Unknown Address,Covina,CA,91724,Los Angeles,459486,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,White,,,,,,18-40,,,,,,,Fought/Broke Free,Ran Away; Adult Intervened,0,0,0,0,-1,None
Attempted Abduction,1193504,Closed,Internet,4/19/2012,8:15 PM,Beach / Boardwalk,Unknown address,Naples,FL,34117,Collier,462095,,,,,,Unknown,,,,,,Female,,,,,,17,,,,,,Male,,,White,,,,,,30,,,,,,,Fought/Broke Free,Ran Away,0,0,0,0,-1,None
Attempted Abduction,1212724,Closed,Internet,3/18/2013,12:00 AM,Street,USS James Madison Rd & Oakridge Rd,Kings Bay,GA,31558,Camden,483337,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,Unknown,,,,,,30-40,,,Van,,Black,,Ran Away,,0,0,0,0,-1,Unknown
Attempted Abduction,1191890,Closed,Internet,3/29/2012,4:00 PM,Street,VA Rte 218 - Caledon Rd,King George,VA,22485,King George,460356,,,,,,Unknown,,,,,,Female,,,,,,13,,,,,,Male,,,White,,,,,,20-30,,,"Sedan, 4 door",,"Green, Dark",,Ignored/Refused,Ran Away,0,0,0,0,-1,Conversation
Attempted Abduction,1192777,Closed,Internet,4/6/2012,2:00 PM,Street,Vago Rd,Lewisburg,WV,24901,Greenbrier,461314,,,,,,Unknown,,,,,,Male,,,,,,8,,,,,,Male,,,White,,,,,,Unknown,,,Van,,White,,Ran Away,,0,0,0,0,-1,Unknown
Attempted Abduction,1253117,Closed,Internet,8/14/2015,12:00 PM,Street,Valentia St & 28th Ave,Denver,CO,80238,Denver,541120,,,,,,Unknown,,,,,,Female,,,,,,2,,,,,,Male,,,White,,,,,,Unknown,,,Pickup Truck,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1210342,Closed,Internet,1/23/2013,8:00 AM,Street,Valley Hi Dr & Halkeep Wy,Sacramento,CA,95823,Sacramento,480601,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,30-35,,,Van,,Green,,Ignored/Refused,,0,0,0,0,-1,None
Attempted Abduction,1281129,Closed,Internet,11/6/2016,3:36 PM,Street,Valley St & Utica Ave,Jackson,MS,39203,Hinds,580220,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,55,,,,,,,,White,,Other,The suspect drove away,0,0,0,0,-1,None
Attempted Abduction,1266023,Closed,Internet,4/4/2016,12:00 AM,Street,Van Cortlandt Ave,Ossining,NY,10562,Westchester,559512,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,Unknown,,,Van,,White,,Ignored/Refused,The child confidently waved off the suspect and went home,0,0,0,-1,-1,Impersonation
Attempted Abduction,1189916,Closed,Internet,2/13/2012,8:30 AM,School - Bus Stop,Van White Memorial Blvd & N 11th Ave,Minneapolis,MN,55411,Hennepin,458205,,,,,,Unknown,,,,,,Female,,,,,,9,,,,,,Male,,,Hispanic,,,,,,Unknown,,,Sport Utility,,Brown,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1234589,Closed,Internet,6/17/2014,4:15 PM,Street,Vaught & Oak St,Ypsilanti,MI,48198,Washtenaw,512449,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,White,,,,,,40-50,,,Pickup Truck,,Silver,,Fought/Broke Free,,0,0,0,-1,-1,Drugs
Attempted Abduction,1213381,Closed,Internet,3/28/2013,9:00 PM,Street,Ventura Rd & Highland Rd,Dateland,AZ,85333,Yuma,484107,,,,,,Unknown,,,,,,Female,,,,,,12,,,,,,Male,,,White,,,,,,50,,,,,Tan,,Ignored/Refused,,0,0,0,0,-1,Unknown
Attempted Abduction,1250373,Closed,Internet,5/21/2015,2:30 PM,Street,Verde Trail,Boca Raton,FL,33433,Palm Beach,536465,,,,,,Unknown,,,,,,Male,,,,,,11,,,,,,Male,,,White,,,,,,35-40,,,Sport Utility,,,,Ignored/Refused,Walked away,0,-1,0,0,-1,Question
