Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Lat,Lon,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1192010,Closed,Internet,2012-04-02,8:20 AM,Street,42 Avenue South & South Graham Street,Seattle,WA,98118,47.5459933,-122.2808384,King,460486,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,Black,,,,,,18,,,Van,,Maroon,,Ignored/Refused,Ran Away,0,0,0,0,-1,Comments
Attempted Abduction,1211920,Closed,Internet,2013-02-15,12:00 AM,School - Facility,420 5th St,Beverly,OH,45715,39.5475164,-81.6320591,Washington,482383,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,White,,,,,,20-30,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1273415,Closed,Internet,2016-07-09,8:00 PM,Street,4200 Greensburg Pike,Pittsburgh,PA,15221,40.4204263,-79.841649,Allegheny,569875,,,,,,Black,,,,,,Male,,,,,,4,,,,,,Male,,,White,,,,,,50-59,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,Ball
Attempted Abduction,1224263,Closed,Internet,2013-10-15,7:20 AM,Street,4200 Neilson St,Philadelphia,PA,19124,40.0101547,-75.0973806,Philadelphia,497194,,,,,,Black,,,,,,Female,,,,,,15,,,,,,Male,,,Black,,,25,,,,,,,,,,Fought/Broke Free,,0,0,0,0,-1,Conversation
Attempted Abduction,1210418,Closed,Internet,2013-01-09,3:42 PM,Street,4200 Pin Oak Park Blvd,Bakersfield,CA,93311,35.3166448,-119.098798,Kern,480686,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,Hispanic,,,,,,30-39,,,"Sedan, 4 door",,Black,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1264575,Closed,Internet,2016-03-04,8:30 AM,Street,4200 S Calumet Ave,Chicago,IL,60653,41.8182789,-87.61875,Cook,557392,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,Black,,,,,,40-50,,,,,,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1205969,Closed,Internet,2012-01-18,4:30 PM,Street,4200 Stuart St,Greenville,TX,75401,33.1268288,-96.1061433,Hunt,475748,,,,,,Unknown,,,,,,Female,,,,,,14,,,,,,Male,,,White,,,,,,30-40,,,,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1189005,Closed,Internet,2012-02-04,6:00 PM,Unknown,4200 Victory Ave,Racine,WI,53405,42.7110147,-87.8297429,Racine,457196,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,Unknown,,,53,,,,,,,,,,Adult/Child Intervened,,0,0,0,0,-1,None
Attempted Abduction,1277088,Closed,Internet,2016-09-15,2:00 PM,School - Facility,4220 Gilman Rd,El Monte,CA,91732,34.075931,-118.002145,Los Angeles,574920,,,,,,Unknown,,,,,,Male,,,,,,9,,,,,,Male,,,White,,,,,,30-39,,,,,,,Fought/Broke Free,,0,0,0,0,-1,Parents sent
Attempted Abduction,1267980,Closed,Internet,2016-05-02,5:30 AM,Retail - Food/Conv/Gas,428 Bedford Ave,Brooklyn,NY,11249,40.7092492,-73.9642677,New York,562327,,,,,,Unknown,,,,,,Female,,,,,,7,,,,,,Male,,,White,,,,,,45,,,,,,,Other,Suspect fled,0,0,0,0,-1,None
